2018-03-22 21:46:45.141 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:810::200e
2018-03-22 21:46:45.203 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.110
2018-03-22 21:46:45.238 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:45.295 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:45.323 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:45.358 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:45.417 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:45.454 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.110
2018-03-22 21:46:45.484 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:45.545 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:45.577 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:45.615 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:45.641 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:810::200e
2018-03-22 21:46:45.697 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:45.726 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:810::200e
2018-03-22 21:46:45.966 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.110
2018-03-22 21:46:45.997 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:46.091 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:46.190 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:46.251 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.110
2018-03-22 21:46:46.281 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:46.320 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.110
